Sn,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,Continent,Population
35,Serbia,"610,232","4,826","5,384",39,"510,932","4,189","93,916",299,"70,054",618,"3,458,046","396,980","8,710,886",Europe,"1,416,183"
,,,,,,,,,,,,,,,,
36,Switzerland,"605,342","2,250","10,350",,"548,375",,"46,617",158,"69,563","1,189","6,126,488","704,028","8,702,049",Europe,148411
,,,,,,,,,,,,,,,,
37,Austria,"552,729","3,137","9,397",29,"506,675","2,946","36,657",535,"61,109","1,039","24,086,423","2,662,975","9,044,930",Europe,169630
,,,,,,,,,,,,,,,,
38,Morocco,"496,676",,"8,825",,"483,711",,"4,140",235,"13,338",237,"5,982,757","160,664","37,237,772",Africa,"7,542,206"
,,,,,,,,,,,,,,,,
39,Japan,"477,458","2,685","9,185",23,"447,715","1,299","20,558",394,"3,784",73,"9,941,638","78,786","126,185,196",Asia,"2,641,373,813"
,,,,,,,,,,,,,,,,
40,Lebanon,"471,962",,"6,286",,"373,833",,"91,843",952,"69,381",924,"3,581,760","526,540","6,802,440",Asia,"1,410,822"
,,,,,,,,,,,,,,,,
41,UAE,"465,939","2,180","1,502",3,"450,111","2,321","14,326",,"46,688",151,"38,080,645","3,815,785","9,979,768",Asia,"2,166,440"
,,,,,,,,,,,,,,,,
42,Saudi Arabia,"391,325",728,"6,684",8,"378,873",404,"5,768",735,"11,111",190,"15,245,394","432,878","35,218,720",Asia,"9,052,692"
,,,,,,,,,,,,,,,,
43,Slovakia,"363,874","1,385","9,877",87,"255,300",,"98,697",582,"66,624","1,808","2,373,463","434,571","5,461,629",Europe,155532
,,,,,,,,,,,,,,,,
44,Panama,"355,499",,"6,119",,"344,327",,"5,053",105,"81,434","1,402","2,164,688","495,865","4,365,482",North America,127132
,,,,,,,,,,,,,,,,
45,Malaysia,"347,972","1,294","1,283",5,"332,443","1,442","14,246",168,"10,649",39,"7,764,537","237,622","32,676,024",Asia,"94,254,684"
,,,,,,,,,,,,,,,,
46,Bulgaria,"346,327",,"13,313",,"262,095",,"70,919",747,"50,127","1,927","2,134,815","308,989","6,909,035",Europe,205193
,,,,,,,,,,,,,,,,
47,Ecuador,"330,388",,"16,877",,"281,684",,"31,827",562,"18,516",946,"1,147,695","64,321","17,843,138",South America,"54,105,716"
,,,,,,,,,,,,,,,,
48,Belarus,"324,694","1,651","2,267",10,"315,226","1,598","7,201",,"34,370",240,"5,406,567","572,306","9,446,987",Europe,"2,941,672"
,,,,,,,,,,,,,,,,
49,Georgia,"282,789",529,"3,798",13,"273,930",326,"5,061",,"70,992",953,"3,443,156","864,374","3,983,409",Asia,"1,410,491"
,,,,,,,,,,,,,,,,
50,Nepal,"277,640",179,"3,031",,"272,962",111,"1,647",,"9,403",103,"2,279,105","77,185","29,527,704",Asia,"106,974,213"
,,,,,,,,,,,,,,,,
51,Croatia,"276,416","2,362","5,996",29,"257,309","1,670","13,111",153,"67,646","1,467","1,568,027","383,737","4,086,201",Europe,156813
,,,,,,,,,,,,,,,,
52,Bolivia,"273,327",916,"12,280",23,"222,924",962,"38,123",71,"23,179","1,041","915,509","77,638","11,792,020",South America,4396013
,,,,,,,,,,,,,,,,
53,Greece,"270,230","3,058","8,232",72,"227,518",,"34,480",755,"26,022",793,"6,646,107","639,988","10,384,729",Europe,"3,812,622"
,,,,,,,,,,,,,,,,
54,Azerbaijan,"266,322","2,361","3,617",24,"239,807",822,"22,898",,"26,091",354,"2,901,160","284,215","10,207,610",Asia,"3,828,224"
,,,,,,,,,,,,,,,,
55,Tunisia,"255,308",,"8,843",,"217,928",,"28,537",325,"21,434",742,"1,115,541","93,655","11,911,166",Africa,"47,134,711"
,,,,,,,,,,,,,,,,
56,Dominican Republic,"253,196",,"3,330",,"212,818",,"37,048",154,"23,167",305,"1,311,788","120,025","10,929,334",North America,"4,332,828"
,,,,,,,,,,,,,,,,
57,Kazakhstan,"248,931","2,077","3,072",12,"221,347","1,034","24,512",221,"13,140",162,"8,669,927","457,644","18,944,679",Asia,"7,661,672"
,,,,,,,,,,,,,,,,
58,Palestine,"246,893","2,248","2,661",16,"217,224",,"27,008",209,"47,574",513,"1,557,769","300,168","5,189,658",Asia,"2,119,503"
,,,,,,,,,,,,,,,,
59,Ireland,"236,600",,"4,705",,"23,364",,"208,531",63,"47,519",945,"4,025,669","808,521","4,979,051",Europe,"2,110,581"
,,,,,,,,,,,,,,,,
60,Kuwait,"233,521",,"1,319",,"217,873",,"14,329",252,"54,084",305,"2,066,048","478,501","4,317,748",Asia,"1,832,742"
,,,,,,,,,,,,,,,,
61,Denmark,"231,973",708,"2,424",1,"220,354",659,"9,195",41,"39,944",417,"25,996,859","4,476,422","5,807,509",Europe,"2,523,960"
,,,,,,,,,,,,,,,,
62,Moldova,"231,756",,"5,003",,"209,907",,"16,846",331,"57,552","1,242","853,345","211,911","4,026,912",Europe,178055
,,,,,,,,,,,,,,,,
63,Slovenia,"218,114","1,169","4,063",9,"200,422",932,"13,629",118,"104,905","1,954","1,069,681","514,479","2,079,153",Europe,105122
,,,,,,,,,,,,,,,,
64,Lithuania,"217,865",810,"3,594",10,"200,266",499,"14,005",139,"80,882","1,334","2,382,096","884,351","2,693,609",Europe,127491
,,,,,,,,,,,,,,,,
65,Costa Rica,"216,764",,"2,957",,"192,699",,"21,108",163,"42,263",577,"811,544","158,228","5,128,949",North America,"2,417,356"
,,,,,,,,,,,,,,,,
66,Paraguay,"216,278",,"4,250",,"177,202",,"34,826",428,"30,047",590,"918,743","127,638","7,198,054",South America,"3,316,948"
,,,,,,,,,,,,,,,,
67,Ethiopia,"208,961",,"2,890",,"159,436",,"46,635",853,"1,785",25,"2,365,187","20,201","117,081,085",Africa,"5,604,051,250"
,,,,,,,,,,,,,,,,
68,Egypt,"202,843",,"12,041",,"155,016",,"35,786",90,"1,955",116,"2,506,788","24,156","103,773,526",Africa,"512,861,841"
,,,,,,,,,,,,,,,,
69,Armenia,"194,852","1,116","3,552",19,"174,545",864,"16,755",,"65,664","1,197","864,876","291,459","2,967,402",Asia,158353
,,,,,,,,,,,,,,,,
70,Guatemala,"194,756",,"6,860",,"177,964",,"9,932",5,"10,723",378,"1,052,595","57,954","18,162,709",North America,"93,264,817"
,,,,,,,,,,,,,,,,
71,Honduras,"189,726",683,"4,622",17,"73,308",576,"111,796",468,"18,931",461,"519,992","51,884","10,022,219",North America,"53,216,819"
,,,,,,,,,,,,,,,,
72,Qatar,"181,678",874,298,3,"165,003",459,"16,377",379,"64,705",106,"1,749,501","623,085","2,807,805",Asia,"1,594,222"
,,,,,,,,,,,,,,,,
